Дата;Т;? 1 нед;? 2 нед;? 3 нед;В;? 1 нед;? 2 нед;? 3 нед;Пожары
24.03.2008 - 30.03.2008;высокая;сильно возрастает;существенно возрастает;изменяется незначительно;умеренная;сильно убывает;изменяется незначительно;существенно возрастает;катастрофическое
31.03.2008 - 06.04.2008;низкая;изменяется незначительно;существенно возрастает;существенно возрастает;умеренная;изменяется незначительно;существенно убывает;изменяется незначительно;катастрофическое
07.04.2008 - 13.04.2008;низкая;существенно возрастает;сильно возрастает;существенно возрастает;пониженная;существенно убывает;изменяется незначительно;существенно убывает;катастрофическое
14.04.2008 - 20.04.2008;переходная;существенно возрастает;существенно возрастает;существенно возрастает;умеренная;существенно убывает;изменяется незначительно;изменяется незначительно;катастрофическое
21.04.2008 - 27.04.2008;умеренная;изменяется незначительно;существенно возрастает;изменяется незначительно;умеренная;существенно возрастает;существенно возрастает;существенно возрастает;катастрофическое
28.04.2008 - 04.05.2008;умеренная;сильно возрастает;существенно возрастает;изменяется незначительно;пониженная;изменяется незначительно;изменяется незначительно;изменяется незначительно;катастрофическое
05.05.2008 - 11.05.2008;переходная;сильно возрастает;существенно возрастает;существенно возрастает;низкая;существенно убывает;существенно убывает;существенно убывает;очень большое
12.05.2008 - 18.05.2008;умеренная;изменяется незначительно;изменяется незначительно;существенно возрастает;пониженная;изменяется незначительно;изменяется незначительно;изменяется незначительно;очень большое
19.05.2008 - 25.05.2008;умеренная;изменяется незначительно;существенно возрастает;существенно возрастает;пониженная;изменяется незначительно;изменяется незначительно;изменяется незначительно;очень большое
26.05.2008 - 01.06.2008;умеренная;сильно возрастает;сильно возрастает;существенно возрастает;пониженная;существенно возрастает;изменяется незначительно;изменяется незначительно;очень большое
02.06.2008 - 08.06.2008;критическая;изменяется незначительно;изменяется незначительно;существенно возрастает;высокая;существенно убывает;изменяется незначительно;изменяется незначительно;большое
09.06.2008 - 15.06.2008;переходная;изменяется незначительно;изменяется незначительно;изменяется незначительно;пониженная;существенно возрастает;изменяется незначительно;существенно убывает;большое
16.06.2008 - 22.06.2008;переходная;изменяется незначительно;изменяется незначительно;существенно возрастает;пониженная;существенно убывает;существенно убывает;изменяется незначительно;большое
23.06.2008 - 29.06.2008;переходная;изменяется незначительно;изменяется незначительно;существенно возрастает;умеренная;существенно возрастает;существенно возрастает;изменяется незначительно;большое
30.06.2008 - 06.07.2008;переходная;сильно возрастает;существенно возрастает;существенно возрастает;умеренная;изменяется незначительно;изменяется незначительно;изменяется незначительно;большое
07.07.2008 - 13.07.2008;переходная;сильно убывает;существенно убывает;существенно убывает;пониженная;существенно убывает;существенно убывает;существенно убывает;большое
14.07.2008 - 20.07.2008;переходная;существенно возрастает;изменяется незначительно;изменяется незначительно;низкая;существенно убывает;существенно убывает;существенно убывает;большое
21.07.2008 - 27.07.2008;переходная;существенно возрастает;изменяется незначительно;изменяется незначительно;умеренная;изменяется незначительно;изменяется незначительно;существенно убывает;большое
28.07.2008 - 03.08.2008;умеренная;существенно возрастает;существенно возрастает;существенно возрастает;умеренная;изменяется незначительно;изменяется незначительно;изменяется незначительно;большое
06.04.2009 - 12.04.2009;умеренная;существенно возрастает;существенно возрастает;существенно возрастает;умеренная;существенно убывает;существенно убывает;изменяется незначительно;большое
13.04.2009 - 19.04.2009;высокая;изменяется незначительно;изменяется незначительно;изменяется незначительно;высокая;изменяется незначительно;изменяется незначительно;существенно возрастает;среднее
20.04.2009 - 26.04.2009;критическая;существенно возрастает;существенно возрастает;изменяется незначительно;умеренная;существенно убывает;существенно убывает;изменяется незначительно;среднее
27.04.2009 - 03.05.2009;переходная;изменяется незначительно;существенно возрастает;существенно возрастает;умеренная;изменяется незначительно;существенно убывает;существенно убывает;среднее
04.05.2009 - 10.05.2009;переходная;сильно возрастает;сильно возрастает;существенно возрастает;умеренная;существенно убывает;существенно убывает;существенно убывает;среднее
11.05.2009 - 17.05.2009;переходная;сильно возрастает;существенно возрастает;существенно возрастает;высокая;существенно возрастает;изменяется незначительно;изменяется незначительно;среднее
18.05.2009 - 24.05.2009;переходная;существенно возрастает;изменяется незначительно;изменяется незначительно;умеренная;изменяется незначительно;существенно убывает;существенно убывает;среднее
12.04.2010 - 18.04.2010;переходная;существенно возрастает;существенно возрастает;изменяется незначительно;высокая;изменяется незначительно;существенно возрастает;существенно возрастает;среднее
19.04.2010 - 25.04.2010;переходная;существенно убывает;изменяется незначительно;существенно возрастает;умеренная;существенно убывает;существенно убывает;существенно убывает;среднее
26.04.2010 - 02.05.2010;умеренная;изменяется незначительно;существенно возрастает;изменяется незначительно;низкая;изменяется незначительно;изменяется незначительно;существенно убывает;среднее
03.05.2010 - 09.05.2010;умеренная;изменяется незначительно;существенно возрастает;изменяется незначительно;умеренная;изменяется незначительно;изменяется незначительно;существенно возрастает;среднее
10.05.2010 - 16.05.2010;умеренная;изменяется незначительно;существенно возрастает;существенно возрастает;пониженная;сильно убывает;существенно убывает;изменяется незначительно;среднее
17.05.2010 - 23.05.2010;умеренная;изменяется незначительно;существенно возрастает;существенно возрастает;пониженная;существенно убывает;существенно убывает;существенно убывает;среднее
24.05.2010 - 30.05.2010;умеренная;изменяется незначительно;существенно возрастает;существенно возрастает;умеренная;существенно возрастает;изменяется незначительно;изменяется незначительно;среднее
31.05.2010 - 06.06.2010;умеренная;существенно возрастает;существенно возрастает;существенно возрастает;пониженная;существенно убывает;существенно убывает;существенно убывает;среднее
07.06.2010 - 13.06.2010;умеренная;существенно возрастает;существенно возрастает;существенно возрастает;умеренная;существенно возрастает;существенно возрастает;изменяется незначительно;среднее
28.03.2011 - 03.04.2011;умеренная;существенно убывает;существенно возрастает;изменяется незначительно;очень высокая;сильно возрастает;изменяется незначительно;существенно возрастает;среднее
04.04.2011 - 10.04.2011;высокая;изменяется незначительно;изменяется незначительно;изменяется незначительно;высокая;изменяется незначительно;изменяется незначительно;изменяется незначительно;мало или отсутствуют
11.04.2011 - 17.04.2011;высокая;изменяется незначительно;изменяется незначительно;изменяется незначительно;высокая;изменяется незначительно;изменяется незначительно;изменяется незначительно;мало или отсутствуют
18.04.2011 - 24.04.2011;высокая;изменяется незначительно;существенно возрастает;изменяется незначительно;высокая;существенно возрастает;изменяется незначительно;изменяется незначительно;мало или отсутствуют
25.04.2011 - 01.05.2011;высокая;изменяется незначительно;существенно возрастает;существенно возрастает;высокая;существенно возрастает;изменяется незначительно;изменяется незначительно;мало или отсутствуют
02.05.2011 - 08.05.2011;высокая;существенно возрастает;существенно возрастает;изменяется незначительно;высокая;существенно убывает;изменяется незначительно;существенно возрастает;мало или отсутствуют
09.05.2011 - 15.05.2011;высокая;существенно возрастает;существенно возрастает;существенно возрастает;умеренная;существенно убывает;изменяется незначительно;существенно возрастает;мало или отсутствуют
16.05.2011 - 22.05.2011;высокая;существенно возрастает;существенно возрастает;существенно возрастает;умеренная;существенно убывает;существенно убывает;изменяется незначительно;мало или отсутствуют
23.05.2011 - 29.05.2011;высокая;существенно убывает;изменяется незначительно;изменяется незначительно;умеренная;изменяется незначительно;существенно убывает;существенно убывает;мало или отсутствуют
19.09.2011 - 25.09.2011;низкая;изменяется незначительно;изменяется незначительно;существенно возрастает;умеренная;изменяется незначительно;изменяется незначительно;существенно убывает;мало или отсутствуют
26.09.2011 - 02.10.2011;низкая;изменяется незначительно;существенно возрастает;существенно возрастает;умеренная;существенно убывает;существенно убывает;изменяется незначительно;мало или отсутствуют
03.10.2011 - 09.10.2011;низкая;сильно возрастает;существенно возрастает;существенно возрастает;умеренная;существенно возрастает;изменяется незначительно;изменяется незначительно;мало или отсутствуют
10.10.2011 - 16.10.2011;низкая;существенно возрастает;существенно возрастает;существенно возрастает;высокая;изменяется незначительно;изменяется незначительно;изменяется незначительно;мало или отсутствуют
17.10.2011 - 23.10.2011;низкая;существенно убывает;существенно убывает;существенно убывает;высокая;существенно возрастает;изменяется незначительно;существенно возрастает;мало или отсутствуют
24.10.2011 - 30.10.2011;переходная;существенно возрастает;сильно возрастает;сильно возрастает;высокая;изменяется незначительно;изменяется незначительно;изменяется незначительно;мало или отсутствуют
05.03.2012 - 11.03.2012;переходная;существенно убывает;изменяется незначительно;существенно убывает;умеренная;существенно возрастает;существенно возрастает;изменяется незначительно;мало или отсутствуют
12.03.2012 - 18.03.2012;переходная;существенно убывает;существенно убывает;изменяется незначительно;умеренная;изменяется незначительно;существенно возрастает;существенно возрастает;мало или отсутствуют
19.03.2012 - 25.03.2012;умеренная;изменяется незначительно;изменяется незначительно;изменяется незначительно;высокая;существенно возрастает;существенно возрастает;существенно возрастает;мало или отсутствуют
26.03.2012 - 01.04.2012;умеренная;изменяется незначительно;изменяется незначительно;изменяется незначительно;очень высокая;сильно возрастает;сильно возрастает;сильно возрастает;мало или отсутствуют
02.04.2012 - 08.04.2012;умеренная;изменяется незначительно;изменяется незначительно;изменяется незначительно;умеренная;изменяется незначительно;изменяется незначительно;изменяется незначительно;мало или отсутствуют
09.04.2012 - 15.04.2012;умеренная;изменяется незначительно;изменяется незначительно;изменяется незначительно;умеренная;изменяется незначительно;изменяется незначительно;существенно убывает;мало или отсутствуют
16.04.2012 - 22.04.2012;умеренная;изменяется незначительно;изменяется незначительно;изменяется незначительно;умеренная;существенно убывает;существенно убывает;существенно убывает;мало или отсутствуют
23.04.2012 - 29.04.2012;умеренная;изменяется незначительно;изменяется незначительно;существенно возрастает;высокая;изменяется незначительно;сильно возрастает;существенно возрастает;мало или отсутствуют
30.04.2012 - 06.05.2012;умеренная;изменяется незначительно;существенно возрастает;существенно возрастает;умеренная;сильно возрастает;существенно возрастает;изменяется незначительно;мало или отсутствуют
07.05.2012 - 13.05.2012;умеренная;существенно возрастает;изменяется незначительно;существенно возрастает;пониженная;изменяется незначительно;существенно убывает;существенно убывает;мало или отсутствуют
14.05.2012 - 20.05.2012;умеренная;существенно возрастает;сильно возрастает;существенно возрастает;умеренная;изменяется незначительно;изменяется незначительно;изменяется незначительно;мало или отсутствуют
21.05.2012 - 27.05.2012;умеренная;существенно возрастает;существенно возрастает;изменяется незначительно;высокая;сильно возрастает;существенно возрастает;существенно возрастает;мало или отсутствуют
28.05.2012 - 03.06.2012;умеренная;существенно возрастает;существенно возрастает;существенно возрастает;низкая;существенно убывает;существенно убывает;существенно убывает;мало или отсутствуют
04.06.2012 - 10.06.2012;умеренная;существенно возрастает;существенно возрастает;существенно возрастает;умеренная;изменяется незначительно;существенно возрастает;изменяется незначительно;мало или отсутствуют
